entorno,corrida,tiempo_ms
Mac,1,10.52
Mac,2,11.47
Mac,3,11.13
Mac,4,10.03
Mac,5,9.94
Mac,6,12.56
Mac,7,8.85
Mac,8,8.24
Mac,9,11.94
Mac,10,12.17
Mac,11,8.83
Mac,12,11.6
Mac,13,10.83
Mac,14,10.12
Mac,15,10.46
Mac,16,13.07
Mac,17,11.42
Mac,18,11.19
Mac,19,11.09
Mac,20,9.42
Mac,21,9.84
Mac,22,10.1
Mac,23,9.0
Mac,24,11.11
Mac,25,12.04
Mac,26,10.17
Mac,27,9.09
Mac,28,9.13
Mac,29,12.71
Mac,30,9.44
Windows,1,10.2
Windows,2,9.75
Windows,3,11.47
Windows,4,14.34
Windows,5,14.4
Windows,6,13.28
Windows,7,11.02
Windows,8,13.68
Windows,9,11.95
Windows,10,13.32
Windows,11,15.99
Windows,12,11.91
Windows,13,9.98
Windows,14,15.54
Windows,15,12.03
Windows,16,12.0
Windows,17,9.52
Windows,18,13.58
Windows,19,14.11
Windows,20,12.75
Windows,21,14.18
Windows,22,11.65
Windows,23,14.62
Windows,24,13.65
Windows,25,15.33
Windows,26,9.49
Windows,27,10.21
Windows,28,13.85
Windows,29,12.98
Windows,30,10.78
