entorno,n,tiempo_ms
Mac,1000,4.21
Mac,1000,1.18
Mac,1000,4.1
Mac,1000,4.15
Mac,1000,4.54
Mac,2000,6.08
Mac,2000,2.93
Mac,2000,1.18
Mac,2000,5.39
Mac,2000,7.24
Mac,3000,5.44
Mac,3000,5.43
Mac,3000,6.86
Mac,3000,8.22
Mac,3000,7.7
Mac,4000,6.6
Mac,4000,7.72
Mac,4000,7.53
Mac,4000,9.23
Mac,4000,9.51
Mac,5000,8.84
Mac,5000,8.95
Mac,5000,10.6
Mac,5000,9.84
Mac,5000,9.01
Mac,6000,11.3
Mac,6000,12.88
Mac,6000,11.45
Mac,6000,11.8
Mac,6000,10.82
Mac,7000,14.7
Mac,7000,13.03
Mac,7000,14.21
Mac,7000,14.07
Mac,7000,13.23
Mac,8000,14.41
Mac,8000,15.55
Mac,8000,15.2
Mac,8000,17.18
Mac,8000,14.39
Mac,9000,18.67
Mac,9000,19.35
Mac,9000,18.52
Mac,9000,18.66
Mac,9000,17.16
Mac,10000,20.12
Mac,10000,20.13
Mac,10000,17.03
Mac,10000,18.96
Mac,10000,17.64
Windows,1000,0.94
Windows,1000,4.08
Windows,1000,4.86
Windows,1000,2.99
Windows,1000,5.0
Windows,2000,7.08
Windows,2000,6.27
Windows,2000,5.27
Windows,2000,7.26
Windows,2000,9.12
Windows,3000,4.64
Windows,3000,9.36
Windows,3000,6.16
Windows,3000,9.56
Windows,3000,9.82
Windows,4000,9.46
Windows,4000,9.42
Windows,4000,10.12
Windows,4000,10.36
Windows,4000,9.81
Windows,5000,14.13
Windows,5000,9.53
Windows,5000,11.34
Windows,5000,13.31
Windows,5000,11.71
Windows,6000,13.84
Windows,6000,13.75
Windows,6000,15.88
Windows,6000,15.44
Windows,6000,12.01
Windows,7000,14.4
Windows,7000,15.63
Windows,7000,16.11
Windows,7000,17.88
Windows,7000,16.14
Windows,8000,20.69
Windows,8000,21.61
Windows,8000,16.96
Windows,8000,18.73
Windows,8000,20.2
Windows,9000,20.96
Windows,9000,21.15
Windows,9000,19.79
Windows,9000,19.63
Windows,9000,20.92
Windows,10000,24.41
Windows,10000,20.93
Windows,10000,22.47
Windows,10000,25.78
Windows,10000,22.38
