juez,orden,marca,agrado
1,1,Oreo,8
1,2,Chokis,7
1,3,Lors,5
1,4,GreatValue,4
2,1,Oreo,8
2,2,Chokis,7
2,3,Lors,6
2,4,GreatValue,5
3,1,GreatValue,5
3,2,Oreo,8
3,3,Chokis,6
3,4,Lors,4
4,1,Chokis,6
4,2,GreatValue,6
4,3,Oreo,9
4,4,Lors,4
5,1,Lors,7
5,2,GreatValue,5
5,3,Chokis,9
5,4,Oreo,9
6,1,Chokis,7
6,2,Oreo,7
6,3,GreatValue,6
6,4,Lors,7
7,1,GreatValue,5
7,2,Lors,7
7,3,Oreo,8
7,4,Chokis,7
8,1,Lors,9
8,2,Chokis,9
8,3,GreatValue,7
8,4,Oreo,8
9,1,Oreo,8
9,2,GreatValue,6
9,3,Chokis,8
9,4,Lors,5
10,1,Oreo,5
10,2,GreatValue,4
10,3,Lors,6
10,4,Chokis,5
11,1,Chokis,7
11,2,Lors,4
11,3,GreatValue,5
11,4,Oreo,9
12,1,Lors,5
12,2,Oreo,6
12,3,Chokis,7
12,4,GreatValue,5
13,1,Oreo,8
13,2,Chokis,7
13,3,Lors,7
13,4,GreatValue,6
14,1,Lors,5
14,2,Oreo,6
14,3,Chokis,6
14,4,GreatValue,5
15,1,Chokis,6
15,2,Oreo,8
15,3,Lors,4
15,4,GreatValue,4
16,1,Oreo,5
16,2,GreatValue,5
16,3,Lors,6
16,4,Chokis,5
17,1,Chokis,8
17,2,Lors,7
17,3,GreatValue,7
17,4,Oreo,7
18,1,Oreo,6
18,2,Chokis,7
18,3,GreatValue,3
18,4,Lors,5
19,1,Chokis,7
19,2,GreatValue,5
19,3,Lors,7
19,4,Oreo,8
20,1,Lors,8
20,2,Oreo,8
20,3,GreatValue,5
20,4,Chokis,5
21,1,Oreo,6
21,2,Chokis,8
21,3,GreatValue,5
21,4,Lors,7
22,1,Chokis,8
22,2,Lors,4
22,3,Oreo,7
22,4,GreatValue,5
23,1,Chokis,7
23,2,GreatValue,5
23,3,Oreo,7
23,4,Lors,4
24,1,Chokis,6
24,2,Lors,6
24,3,GreatValue,4
24,4,Oreo,6
25,1,Oreo,9
25,2,Chokis,6
25,3,GreatValue,3
25,4,Lors,7
