id,sustrato,eficiencia_biologica,dias_cosecha,contaminado
paj01,paja_trigo,89.5,24,no
paj02,paja_trigo,90.9,21,no
paj03,paja_trigo,88.4,26,no
paj04,paja_trigo,88.9,21,no
paj05,paja_trigo,84.5,23,no
paj06,paja_trigo,85.1,16,no
paj07,paja_trigo,102.2,19,no
paj08,paja_trigo,91.0,18,no
paj09,paja_trigo,84.4,18,no
paj10,paja_trigo,90.1,23,no
paj11,paja_trigo,87.5,20,no
paj12,paja_trigo,70.3,21,no
paj13,paja_trigo,101.6,23,no
paj14,paja_trigo,74.4,21,no
paj15,paja_trigo,80.8,20,si
paj16,paja_trigo,95.0,20,no
paj17,paja_trigo,84.0,19,no
paj18,paja_trigo,76.1,20,no
paj19,paja_trigo,81.0,22,no
paj20,paja_trigo,85.2,17,no
paj21,paja_trigo,83.7,22,no
paj22,paja_trigo,92.1,23,no
paj23,paja_trigo,84.0,19,no
paj24,paja_trigo,79.5,19,no
paj25,paja_trigo,78.8,25,no
pul01,pulpa_cafe,62.6,19,no
pul02,pulpa_cafe,84.0,26,si
pul03,pulpa_cafe,82.3,21,no
pul04,pulpa_cafe,70.7,22,no
pul05,pulpa_cafe,72.8,22,no
pul06,pulpa_cafe,94.2,24,si
pul07,pulpa_cafe,81.2,28,no
pul08,pulpa_cafe,86.0,22,si
pul09,pulpa_cafe,84.0,21,no
pul10,pulpa_cafe,80.0,25,si
pul11,pulpa_cafe,102.6,29,no
pul12,pulpa_cafe,80.9,25,no
pul13,pulpa_cafe,91.1,17,no
pul14,pulpa_cafe,92.3,27,si
pul15,pulpa_cafe,93.2,21,no
pul16,pulpa_cafe,77.7,25,no
pul17,pulpa_cafe,76.3,23,no
pul18,pulpa_cafe,75.6,25,no
pul19,pulpa_cafe,75.7,23,no
pul20,pulpa_cafe,66.4,22,no
pul21,pulpa_cafe,81.7,31,no
pul22,pulpa_cafe,89.8,28,no
pul23,pulpa_cafe,69.3,24,si
pul24,pulpa_cafe,82.2,27,no
pul25,pulpa_cafe,78.4,25,no
olo01,olote_maiz,55.9,25,no
olo02,olote_maiz,65.5,28,no
olo03,olote_maiz,46.6,31,no
olo04,olote_maiz,66.1,27,si
olo05,olote_maiz,67.5,26,si
olo06,olote_maiz,65.2,27,no
olo07,olote_maiz,68.5,25,no
olo08,olote_maiz,64.0,28,no
olo09,olote_maiz,69.1,31,no
olo10,olote_maiz,76.3,24,no
olo11,olote_maiz,64.4,32,no
olo12,olote_maiz,59.2,30,si
olo13,olote_maiz,66.5,21,no
olo14,olote_maiz,65.0,27,no
olo15,olote_maiz,76.3,27,si
olo16,olote_maiz,53.3,26,no
olo17,olote_maiz,76.7,28,no
olo18,olote_maiz,64.3,31,si
olo19,olote_maiz,65.6,32,no
olo20,olote_maiz,73.0,26,no
olo21,olote_maiz,72.5,27,no
olo22,olote_maiz,65.2,27,no
olo23,olote_maiz,55.2,30,no
olo24,olote_maiz,56.2,27,no
olo25,olote_maiz,75.8,29,no
ase01,aserrin,41.0,32,si
ase02,aserrin,35.2,26,si
ase03,aserrin,32.9,27,no
ase04,aserrin,61.2,27,si
ase05,aserrin,63.3,30,si
ase06,aserrin,53.0,31,si
ase07,aserrin,39.4,33,si
ase08,aserrin,62.4,29,no
ase09,aserrin,52.3,33,no
ase10,aserrin,51.5,31,no
ase11,aserrin,50.0,34,no
ase12,aserrin,57.1,32,si
ase13,aserrin,52.8,29,no
ase14,aserrin,37.7,29,no
ase15,aserrin,54.1,33,no
ase16,aserrin,30.3,31,no
ase17,aserrin,54.0,29,si
ase18,aserrin,68.5,27,no
ase19,aserrin,63.7,31,si
ase20,aserrin,48.1,28,no
ase21,aserrin,55.4,27,si
ase22,aserrin,40.4,31,si
ase23,aserrin,48.5,26,no
ase24,aserrin,46.2,28,no
ase25,aserrin,62.2,34,si
