id,habitat,temp_corporal,masa_g,lhc_mm,frec_cardiaca
U01,urbana,34.0,15.6,61.0,70
U02,urbana,36.4,14.7,60.9,70
U03,urbana,36.3,14.9,70.1,95
U04,urbana,34.1,15.0,69.7,89
U05,urbana,37.3,15.7,69.4,81
U06,urbana,35.8,14.6,72.4,67
U07,urbana,36.1,15.0,55.9,75
U08,urbana,34.4,15.3,65.4,90
U09,urbana,37.1,17.3,65.8,88
U10,urbana,34.1,13.0,64.4,95
U11,urbana,32.8,16.9,72.6,103
U12,urbana,37.3,16.4,74.7,85
U13,urbana,34.7,14.8,66.9,93
U14,urbana,35.4,13.1,65.3,87
U15,urbana,38.0,15.6,56.4,83
U16,urbana,36.9,17.1,56.4,86
U17,urbana,36.2,11.3,65.5,98
U18,urbana,36.8,14.7,61.6,78
U19,urbana,34.3,14.7,55.3,99
U20,urbana,36.4,12.5,61.4,103
U21,urbana,36.9,12.6,63.8,88
U22,urbana,36.4,9.8,66.7,91
U23,urbana,35.0,11.2,61.5,74
U24,urbana,30.1,9.9,60.7,112
U25,urbana,36.1,12.7,62.0,98
U26,urbana,35.5,12.8,62.9,90
U27,urbana,34.8,12.9,56.2,89
U28,urbana,36.4,15.6,66.2,93
U29,urbana,35.7,13.9,73.0,81
U30,urbana,35.6,12.3,66.1,91
U31,urbana,33.2,12.3,54.8,79
U32,urbana,33.3,11.1,62.5,93
C01,campo,33.1,11.4,65.8,80
C02,campo,35.0,11.9,66.5,81
C03,campo,33.8,12.2,71.3,83
C04,campo,34.2,10.0,56.5,75
C05,campo,37.5,12.3,63.3,78
C06,campo,34.9,11.3,63.2,85
C07,campo,34.2,16.9,57.2,86
C08,campo,34.0,11.5,72.1,92
C09,campo,32.7,14.0,59.1,61
C10,campo,35.2,13.8,58.3,65
C11,campo,35.8,9.9,63.3,93
C12,campo,34.0,9.6,67.2,85
C13,campo,35.9,11.6,59.0,87
C14,campo,33.8,14.5,59.0,77
C15,campo,31.8,11.3,64.5,76
C16,campo,33.1,11.1,54.9,82
C17,campo,32.6,5.3,58.1,72
C18,campo,33.6,11.8,57.8,66
C19,campo,34.7,13.6,59.8,70
C20,campo,32.8,14.0,61.3,81
C21,campo,33.8,13.9,71.2,86
C22,campo,34.1,11.9,66.5,95
C23,campo,33.0,12.2,62.1,83
C24,campo,32.8,15.0,60.9,84
C25,campo,34.0,12.4,66.4,95
C26,campo,34.9,6.8,64.1,73
C27,campo,33.2,15.5,66.5,71
C28,campo,33.0,10.0,68.9,75
C29,campo,33.7,16.4,57.0,79
C30,campo,34.2,17.2,50.7,98
