id,lote,observador,orden,masa_g,diametro_mm
1,1,A,1,26.8,50
1,1,B,2,26.7,49
2,1,B,1,24.5,49
2,1,A,2,24.3,47
3,1,A,1,26.5,49
3,1,B,2,26.5,50
4,1,B,1,25.3,47
4,1,A,2,25.1,47
5,1,A,1,26.3,46
5,1,B,2,26.3,47
6,1,B,1,25.9,46
6,1,A,2,25.8,45
7,1,A,1,26.1,46
7,1,B,2,26.0,
8,1,B,1,26.1,51
8,1,A,2,26.2,49
9,1,A,1,27.2,50
9,1,B,2,27.2,50
10,1,B,1,24.6,49
10,1,A,2,24.4,49
11,2,A,1,25.9,46
11,2,B,2,25.8,46
12,2,B,1,26.6,49
12,2,A,2,26.4,49
13,2,A,1,28.3,48
13,2,B,2,28.3,49
14,2,B,1,,42
14,2,A,2,27.5,41
15,2,A,1,26.2,47
15,2,B,2,25.9,50
16,2,B,1,25.9,51
16,2,A,2,25.8,49
17,2,A,1,26.1,50
17,2,B,2,26.2,50
18,2,B,1,27.4,47
18,2,A,2,27.3,47
19,2,A,1,26.3,48
19,2,B,2,26.1,49
20,2,B,1,26.3,47
20,2,A,2,26.0,46
